source,calendar_year,sm_league_id,league_name,tier,n_events,earliest_kickoff,latest_kickoff,n_with_final_score,n_with_any_prematch_odds
raw_sportmonks_fixtures,2023,465,Liga Portugal 2,unknown,136,2023-08-12 10:00:00-05:00,2023-12-31 11:00:00-05:00,,
raw_sportmonks_fixtures,2023,468,Taça De Portugal,unknown,130,2023-09-08 16:00:00-05:00,2023-11-26 20:00:00-05:00,,
raw_sportmonks_fixtures,2023,474,Superliga,unknown,144,2023-08-04 15:30:00-05:00,2023-12-22 18:30:00-05:00,,
raw_sportmonks_fixtures,2023,486,Premier League,unknown,128,2023-08-04 17:00:00-05:00,2023-12-10 16:45:00-05:00,,
raw_sportmonks_fixtures,2023,489,FNL,unknown,153,2023-08-05 13:00:00-05:00,2023-11-27 16:30:00-05:00,,
raw_sportmonks_fixtures,2023,492,Russian Cup,unknown,132,2023-08-01 16:30:00-05:00,2023-11-29 15:15:00-05:00,,
raw_sportmonks_fixtures,2023,501,Premiership,A,117,2023-08-05 11:30:00-05:00,2023-12-30 15:00:00-05:00,,
raw_sportmonks_fixtures,2023,531,Super Liga,unknown,144,2023-08-03 15:55:00-05:00,2023-12-22 16:00:00-05:00,,
raw_sportmonks_fixtures,2023,540,Niké Liga,unknown,102,2023-08-04 18:30:00-05:00,2023-12-17 16:30:00-05:00,,
raw_sportmonks_fixtures,2023,564,La Liga,S,180,2023-08-11 17:30:00-05:00,2023-12-23 15:15:00-05:00,,
raw_sportmonks_fixtures,2023,567,La Liga 2,B,231,2023-08-11 17:00:00-05:00,2023-12-21 20:30:00-05:00,,
raw_sportmonks_fixtures,2023,570,Copa Del Rey,unknown,93,2023-10-11 17:30:00-05:00,2023-12-07 20:00:00-05:00,,
raw_sportmonks_fixtures,2023,591,Super League,unknown,96,2023-08-05 16:00:00-05:00,2023-12-17 15:30:00-05:00,,
raw_sportmonks_fixtures,2023,600,Super Lig,A,170,2023-08-11 18:00:00-05:00,2023-12-25 17:00:00-05:00,,
raw_sportmonks_fixtures,2023,603,1. Lig,unknown,153,2023-08-11 18:00:00-05:00,2023-12-25 17:00:00-05:00,,
raw_sportmonks_fixtures,2023,609,Premier League,unknown,121,2023-08-02 14:00:00-05:00,2023-12-11 13:00:00-05:00,,
raw_sportmonks_fixtures,2023,743,Liga MX,A,144,2023-08-19 01:06:00-05:00,2023-12-18 01:30:00-05:00,,
raw_sportmonks_fixtures,2023,806,Premier League,unknown,125,2023-08-04 17:30:00-05:00,2023-12-31 13:30:00-05:00,,
raw_sportmonks_fixtures,2023,809,Ligue 1,unknown,81,2023-09-15 15:00:00-05:00,2023-12-29 17:00:00-05:00,,
raw_sportmonks_fixtures,2023,827,Ligue 1,unknown,120,2023-10-07 16:00:00-05:00,2023-12-30 15:30:00-05:00,,
raw_sportmonks_fixtures,2023,830,Premier League,unknown,83,2023-09-18 16:00:00-05:00,2023-12-30 17:00:00-05:00,,
raw_sportmonks_fixtures,2023,860,Botola Pro,unknown,103,2023-08-25 20:30:00-05:00,2023-12-29 19:00:00-05:00,,
raw_sportmonks_fixtures,2023,902,Persian Gulf Pro League,unknown,116,2023-08-09 15:30:00-05:00,2023-12-31 11:30:00-05:00,,
