shadow_pick_id,source_run_key,operating_day_key,bt2_event_id,sm_fixture_id,sm_league_id,league_name,legacy_exclusion,shadow_native_exclusion,legacy_eligible,shadow_native_eligible
341,shadow-subset5-backfill-2026-02,2026-02-07,,19433655,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
342,shadow-subset5-backfill-2026-02,2026-02-07,,19433658,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
343,shadow-subset5-backfill-2026-02,2026-02-07,,19433661,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
344,shadow-subset5-backfill-2026-02,2026-02-07,,19433662,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
345,shadow-subset5-backfill-2026-02,2026-02-07,,19433663,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
346,shadow-subset5-backfill-2026-02,2026-02-07,,19433659,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
356,shadow-subset5-backfill-2026-02,2026-02-07,,19433920,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
357,shadow-subset5-backfill-2026-02,2026-02-07,,19433921,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
369,shadow-subset5-backfill-2026-02,2026-02-07,,19425114,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
370,shadow-subset5-backfill-2026-02,2026-02-07,,19425113,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
380,shadow-subset5-backfill-2026-02,2026-02-07,,19439472,564,La Liga,missing_bt2_event_id,shadow_native_value_pool_failed,False,False
381,shadow-subset5-backfill-2026-02,2026-02-07,,19439476,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
347,shadow-subset5-backfill-2026-02,2026-02-08,,19433656,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
348,shadow-subset5-backfill-2026-02,2026-02-08,,19433660,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
359,shadow-subset5-backfill-2026-02,2026-02-08,,19433918,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
360,shadow-subset5-backfill-2026-02,2026-02-08,,19467815,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
361,shadow-subset5-backfill-2026-02,2026-02-08,,19467817,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
371,shadow-subset5-backfill-2026-02,2026-02-08,,19425112,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
372,shadow-subset5-backfill-2026-02,2026-02-08,,19425117,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
373,shadow-subset5-backfill-2026-02,2026-02-08,,19425120,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
382,shadow-subset5-backfill-2026-02,2026-02-08,,19439474,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
383,shadow-subset5-backfill-2026-02,2026-02-08,,19439470,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
384,shadow-subset5-backfill-2026-02,2026-02-08,,19439477,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
385,shadow-subset5-backfill-2026-02,2026-02-08,,19439471,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
349,shadow-subset5-backfill-2026-02,2026-02-13,,19433665,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
386,shadow-subset5-backfill-2026-03,2026-03-01,,19427157,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
387,shadow-subset5-backfill-2026-03,2026-03-01,,19427159,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
388,shadow-subset5-backfill-2026-03,2026-03-01,,19427162,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
389,shadow-subset5-backfill-2026-03,2026-03-01,,19427155,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
398,shadow-subset5-backfill-2026-03,2026-03-01,,19433690,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
399,shadow-subset5-backfill-2026-03,2026-03-01,,19433685,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
400,shadow-subset5-backfill-2026-03,2026-03-01,,19433687,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
410,shadow-subset5-backfill-2026-03,2026-03-01,,19467843,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
411,shadow-subset5-backfill-2026-03,2026-03-01,,19467847,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
412,shadow-subset5-backfill-2026-03,2026-03-01,,19467848,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
413,shadow-subset5-backfill-2026-03,2026-03-01,,19467849,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
422,shadow-subset5-backfill-2026-03,2026-03-01,,19425142,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
423,shadow-subset5-backfill-2026-03,2026-03-01,,19425148,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
424,shadow-subset5-backfill-2026-03,2026-03-01,,19425149,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
